hell,fast hell,mittel,fast dunkel,dunkel,palette name,link
C3C5C2,B99B67,115898,A48E5C,2D495E,juno,
D0BD92,ABA195,A07D57,575757,423D37,roger miller,
BAA384,C89965,A77746,8C6546,61554B,who rang?,
F0E9D5,DEDBC1,9BC4CF,769299,7A6F61,She tells herself,http://www.colourlovers.com/palette/3367669/She_Tells_Herself
918877,9B9365,AE8251,A78B59,A8996E,Planet Pearl,http://www.colourlovers.com/palette/2575224/Planet_pearl?widths=1
A8B490,AFAA6A,B69C2B,C89424,899B75,Party trick,http://www.colourlovers.com/palette/2613121/Party_trick?widths=1
ABC5F5,BEAED2,B89CA8,8192BD,73616F,barbie soldier,
CFD3D6,CBC2BB,C0B0A1,A0917C,6A6B6D,I'm a rocket,
BED9FA,80A9D9,588EA3,517559,394B57,verrazano,
97C0B0,81B8A5,5DA097,7F7A5D,504026,may,
A2C7E4,8FB1D7,75A16A,63662F,302D02,brunnen,
9F2440,D1456C,AEA9A3,6F7068,444B51,old prof's beard,
776758,D87268,BFB09D,AB9F90,357B75,Summer Thoughts,http://www.colourlovers.com/palette/3419289/Summer_Thoughts
00A0B0,6A4A3C,CC333F,EB6841,EDC951,Ocean Five,http://www.colourlovers.com/palette/1473/Ocean_Five
CFF09E,A8DBA8,79BD9A,3B8686,0B486B,Adrift in Dreams,http://www.colourlovers.com/palette/580974/Adrift_in_Dreams
C466FF,FF66A1,FF94A2,FFBB94,FFDF94,Crazed Sick Girl,http://www.colourlovers.com/palette/3419313/Crazed_Sick_Girl
